tag,tag_category
NA,NA
Political Science,discipline
BC TRY system,computer
Computer programme rather than computer,meta
Sociology,discipline
Homunculus,program
IBM 709,computer
IBM 7090,computer
Philco 2000,computer
Behavioural science,discipline
PDF: Image rather than text,meta
No specific computer or programme was mentioned,meta
Psychology,discipline
Computer model rather than computer,meta
Illiac,computer
IBM 650,computer
Program: EPAM,program
Programming Language: IPL-V,language
Management Science,discipline
Univac,computer
Program: SINDI (Simulation of Innovation Diffusion),program
Education,discipline
Review,unknown
Machine Translation,discipline
IBM 704,computer
Statistics,discipline
Program: 6.0.518,program
Program: 6.0.601,program
IBM 402,computer
Program: 6.0.520,program
Computer: Bendix G-15,computer
Ordvac Computer,computer
IBM 701,computer
IBM 607,computer
IBM 101,computer
IBM,computer
IBM 403,computer
IBM 604,computer
Program,program
Generalized Item and Test Analysis Program (GITAP),program
CDC 1604,computer
Economics,discipline
IBM 7074,computer
Program: DESIGN,program
IBM 1620,computer
Taxation,discipline
marketing,discipline
Business,discipline
IBM 705,computer
Accounting,discipline
Computer: Bendix G-20,computer
Organizational behavior,discipline
No specific computer was mentioned,meta
Not a specific discipline,meta
Review of a course,meta
In Behavioural Science,meta
Program: RECOG,program
Program: Procrustes,program
Natural Language Processing,discipline
The General Inquirer,meta
Program: RotoPlot,program
Demography,discipline
Computer: RPC-4000,computer
Mulitple computer models,meta
Linguistics,discipline
Computer: LGP-30,computer
Program: CDT-1,program
Program: CDT-2,program
IBM 7070,computer
Program: WORDS,program
Programming language: DYSTAL,language
IBM 7094,computer
IBM 7072,computer
Program: PsyCHES,program
CDC 3400,computer
System: Protosynthex,program
Geography,discipline
Program: GPS,program
Computer: Burroughs B-5500,computer
Program: ALGOL,language
IBM 360/75,computer
IBM 7090/7094,computer
Program: VARGUS 7,program
report on a conference,meta
Not in Human Science,meta
Program: ELIZA,program
Program: Slides,program
CDC 6600,computer
Computer: Honeywell 1200,computer
IBM 360/65,computer
IBM 7044,computer
IBM 360,computer
IBM 7040-7044,computer
Program: FINDSIT,program
Program: SPAN,program
Computer: AN/ FSQ 32V,computer
CDC 3600,computer
Computer: Burroughs B5500,computer
Computer: English Electric KDF9,computer
Computer: G.E. 265,computer
Univac 1107,computer
Univac Solid State 80,computer
Program: GLEAP,program
IBM 1401,computer
Book review,meta
Programing language: PL/I,language
Art History,discipline
Musicology,discipline
Literary Studies,discipline
History,discipline
Computer program abstracts,meta
Classics,discipline
Humanities,discipline
Programming Language: SNOBOL3,language
CDC 3000,computer
CDC 6000,computer
Univac 1007,computer
Univac 1008,computer
Computer: GE 600,computer
Article not found,meta
Library Studies,discipline
Archaeology,discipline
program: BARZREX,program
Computer: Saab D21,computer
Program: DAC,program
Program: Algol-Genius,program
Photon ZIP 901,computer
Optical Character Recognition,discipline
CDC 8090,computer
CDC 8092,computer
Computer: SDS 910,computer
Program: INFOL,program
Program: BIBCON,program
museum,discipline
Program: DISEMINER,program
Computer: Bendix G-21,computer
Symbolic Processing Systems,unknown
Philosophy,discipline
Program: BIRS,program
Computer: PDP-5,computer
Computer: LINC-8,computer
Computer: PDP-8,computer
Photrns,unknown
Program: MIR,program
Program: IML,program
Program: Kendall's Tau programs,program
Program: Santa Fe Dictionary,program
IBM 1440,computer
Visual Arts,discipline
Illiac II,computer
Illiac III,computer
Program: MUSIC IV,program
Program: LMT,program
IBM 7040,computer
Simulation,discipline
IBM Datatext,program
Program: ORBIT,program
Performing Arts,discipline
Integrated Civil Engineering System,program
Program: Design Augmented by Computer,program
IBM 7960,computer
Computer: TX-2,computer
CDC-21,computer
Computer: GIER,computer
Program: MUSICOMP,program
Computer: CSX-1,computer
Program: BTL,program
Program: CSL,program
Cliometrics,discipline
IBM 1050,computer
IBM 1410,computer
IBM 360/50,computer
BAGOL,language
FORTRAN,language
FORTRAN II,language
Computer: Elliott 503,computer
Computer: English Electric System 4-75,computer
Anthropology,discipline
Program: AHAB V,program
Computer: Burroughs 220 EDPS,computer
Religious Studies,discipline
